height,shift,merit,gaplen,difficulty,time_utc,adder,startprime
117000,32,32.813650,6540,22.381744,2015-04-29 01:17:01,2711517613,361460157646093864129895989063971652230476307686614583460439260975623855364723034716589
118362,25,30.195279,5878,22.396730,2015-05-01 06:41:35,12925337,3487014317580576029047509997383229607257990531148093446827691880745470966558420711833
118388,25,30.352342,5906,22.470745,2015-05-01 07:23:12,22906523,3203408719951549438382294263465577599120799602645617329388630405913444244639161616027
122540,25,30.521978,5928,22.487109,2015-05-08 01:19:59,22973927,2233470728340638012727681829604085739547521403745789935922775889991306262926008946151
122891,25,32.516768,6322,22.720940,2015-05-08 13:49:42,28821359,2733605382823023576278496556306961555577715057719976271839701777111770974921231419247
122978,25,30.237322,5874,22.821397,2015-05-08 16:39:11,6217775,2330517682730568385434191416075058831941188076115266219194080712335173226584646541359
123400,25,31.139046,6062,22.644585,2015-05-09 09:54:20,20248743,3518551338849025158776901295433983969071396315365320261887352911850874705368084445351
124185,25,30.238739,5880,22.822929,2015-05-10 15:31:07,30461423,2816244066756013218849183377446599674893259172181378400752571676377295390483382586863
124197,25,30.633481,5960,22.834259,2015-05-10 15:54:43,17215721,3130579030864503171306254431937836810695950261145820175439828290585530783960435962089
135674,25,30.540791,5936,22.494855,2015-05-29 12:42:59,7511783,2575025357792261390803303095982610349150049955709438001384552310059549357669960818407
137332,25,30.093374,5850,22.169112,2015-06-01 07:16:54,17233899,2658604220528664033588447169375724586756717686566160881200147155218514754108536584171
145266,25,31.272399,6084,21.863669,2015-06-15 09:41:30,3794503,3100016153366630991379338864853448314289433616984369701046837675602132912943916508743
146826,25,31.985463,6208,21.812338,2015-06-17 22:21:37,2053055,1956234467379652524646698849771248381831963938867341915539304068419072756426303558591
152201,512,30.153947,16044,21.847704,2015-06-26 15:09:07,1.207976666200579e+154,1188259351086259554029531924189139213185196853332949982242096482383333610620505491954340299145866063165532486134007213398342384717289112669941195233813768178801351419483383396346566235551264093022809965496367072603841724731875343809
153396,25,31.349765,6102,21.900254,2015-06-28 13:26:12,27716039,3405733696112563879743089922658575564448407735797831344332643102777341017773010512327
176290,25,31.472350,6112,21.892902,2015-08-04 15:42:30,17250337,2192553654828936881560927315316093749980865719305709165374966247572246669563431172129
178569,25,30.032687,5840,21.521258,2015-08-08 10:22:55,16548141,2822560845650990190618059149938887518513378646840525074438322338705712563316959510829
178841,25,31.005952,6020,21.785403,2015-08-08 19:28:40,4107089,2094102655032108381689091707189370769891543548670812590758288001880340150617527724881
179524,512,31.458944,16742,21.465536,2015-08-10 00:32:00,7.113839299604552e+153,1334477482661530741585037176661586184091158756554289084973197647589147534954267061291612798446447837069144769857127424363118839141892603346258550311606864294481734733533199574437029105181986285303678706265098195326307641630779533857
180602,25,30.108314,5860,21.850338,2015-08-11 16:55:18,9647987,3365170210312404921043333597602054582298582007994666906511038555786472546376021653363
186050,25,31.313051,6090,21.846652,2015-08-20 16:52:44,32750475,2916683270723592098890546536933304358866113149626748573563586986143851970916934466443
190316,512,30.578927,16268,21.924210,2015-08-27 17:13:23,1.5154322814085483e+153,1108704844795733537830213094624707596149323064417346067208703849548614770600447692004682257290840112595647110994846319332088122308793673435970451830829731622593572929790823951192434208690327186358730195723008470555071642198469018933
